pfam_id	go_id
PF00140	0003700
PF00140	0016987
PF00140	0006352
PF00140	0006355
PF00141	0004601
PF00141	0020037
PF00141	0006979
PF00141	0055114
PF00142	0005524
PF00142	0016491
PF00142	0055114
PF00143	0005126
PF00143	0006952
PF00143	0005576
PF00145	0003677
PF00145	0008168
PF00145	0006306
PF00146	0055114
PF00146	0016020
PF00148	0016491
PF00148	0055114
PF00149	0016787
PF00150	0004553
PF00150	0005975
PF00152	0000166
PF00152	0004812
PF00152	0005524
PF00152	0006418
PF00152	0005737
PF00154	0003697
PF00154	0005524
PF00154	0006281
PF00154	0009432
PF00155	0030170
PF00155	0009058
PF00156	0009116
PF00157	0003700
PF00157	0006355
PF00158	0005524
PF00158	0008134
PF00158	0006355
PF00159	0005179
PF00159	0005576
PF00160	0003755
PF00160	0006457
PF00161	0030598
PF00161	0017148
PF00162	0004618
PF00162	0006096
PF00163	0019843
PF00163	0005622
PF00164	0003735
PF00164	0006412
PF00164	0005622
PF00164	0005840
PF00166	0006457
PF00166	0005737
PF00167	0008083
PF00168	0005515
PF00169	0005515
PF00169	0005543
PF00170	0003700
PF00170	0043565
PF00170	0006355
PF00171	0016491
PF00171	0008152
PF00171	0055114
PF00172	0000981
PF00172	0008270
PF00172	0006355
PF00172	0005634
PF00173	0020037
PF00174	0009055
PF00174	0055114
PF00175	0016491
PF00175	0055114
PF00176	0003677
PF00176	0005524
PF00178	0003700
PF00178	0043565
PF00178	0006355
PF00179	0016881
PF00180	0016616
PF00180	0055114
PF00181	0003735
PF00181	0006412
PF00181	0005622
PF00181	0005840
PF00182	0004568
PF00182	0006032
PF00182	0016998
PF00183	0005524
PF00183	0051082
PF00183	0006457
PF00183	0006950
PF00184	0005185
PF00184	0005576
PF00185	0016597
PF00185	0016743
PF00185	0006520
PF00186	0004146
PF00186	0006545
PF00186	0009165
PF00186	0055114
PF00187	0008061
PF00189	0003735
PF00189	0006412
PF00189	0005622
PF00189	0005840
PF00190	0045735
PF00191	0005509
PF00191	0005544
PF00193	0005540
PF00193	0007155
PF00195	0016746
PF00195	0009058
PF00196	0003700
PF00196	0043565
PF00196	0006355
PF00196	0005622
PF00197	0004866
PF00198	0016746
PF00198	0008152
PF00199	0004096
PF00199	0020037
PF00199	0055114
PF00201	0016758
PF00201	0008152
PF00202	0008483
PF00202	0030170
PF00203	0003735
PF00203	0006412
PF00203	0005840
PF00204	0003677
PF00204	0003918
PF00204	0005524
PF00204	0006265
PF00204	0005694
PF00205	0000287
PF00205	0030976
PF00207	0004866
PF00208	0016491
PF00208	0006520
PF00208	0055114
PF00209	0005328
PF00209	0006836
PF00209	0016021
PF00210	0008199
PF00210	0006879
PF00211	0016849
PF00211	0009190
PF00211	0035556
PF00212	0005179
